Название;Артикул
Фронтон GA4 Domostyl SET;Фронтон GA4
Профиль MA 20 Domostyl, L=2м;Профиль MA 20
Бордюр круглый  LR 3073/50;LR 3073/50 выв.
Потолочный профиль с орнаментом L=240 см DP 51;DP 51
Плинтус комбинированный DP 52;DP 52
Консоль DQ 9924;DQ 9924
Угловые вставки 97012-6;97012-6 *
Профиль MA 14 Domostyl, L=2м;Профиль MA 14
Профиль MA 15 Domostyl, L=2м;Профиль MA 15
Фронтон GA3 Domostyl SET;Фронтон GA3
Декоративное панно DT 3837;DT 3837
Декоративное панно DT 3839;DT 3839
Z 103 уголки (4шт.);Z103
Z 51 Плинтус потолочный, L=2м;Z 51
Потолочный профиль с орнаментом L=2,4м DT 23 Flex;DT 23 flexible
Пьедестал L 920;L 920 выв.
Угловые вставки 98013-2;98013-2
Угловые вставки DP 8050 B;DP 8050 B
Угловые вставки 97012-3;97012-3 *
Карниз с узорчатой резьбой L=2,44м. C 1063-8;C 1063-8 выв.
Угловые вставки DP 8050 D;DP 8050 D
Z 2 Плинтус потолочный, L=2м;Z2
Карниз с узорчатой резьбой L=2,44м. C 1113-8;C 1113-8 выв.
Угловые вставки 97164-2;97164-2
Розетка потолочная R 4037;R 4037 выв.
Молдинг L=2,44м. CR 683-8;CR 683-8 выв.
Карниз с узорчатой резьбой L=2,44м. C 1037-8;C 1037-8 выв.
Молдинг L=2,44м. CR 687-8;CR 687-8 выв.
Угловые вставки 97010-8;97010-8 *
Z 19 Flex Плинтус потолочный, L=2м;Z19 flex
Карниз с узорчатой резьбой L=2,44м. C 1016-8;C 1016-8 выв.
Кессон потолочный R 4049;R 4049 выв.
Карниз с гладким профилем L=2,44м. P 223-8;P 223-8 выв.
Клей полиуретановый DECOMASTER Ultra Fix, 80 мл.;Клей Ultra fix стык.
Стекло С-120;С 120
Бордюр круглый  LR 3073/65;LR 3073/65 выв.
Угловые вставки DP 304 C;DP 304 C
Z 102 уголки (4 шт);Z102
Потолочный профиль с орнаментом L=2,4м 95655;95655
